id|name|sub_until|reports|tokens|requests|blocked
7479868225|Peredaliky|0|193|416198684:AAEsDGr1xM0-gQH2aN8cWVDpsGt2ryaCipI,8581378218:AAFjom65YP0ifZCFAd88j4XHIn0AifXzn4A|0|0
8614454298|Joseph|2026-07-17 11:03|1||0|0
8589414645|Joseph|0|0||0|0
7830598141|[イプテズ] 𝙼𝚘𝚗𝚎𝚜𝚢 良かった|0|1||0|0
6006327712|Sam|0|0||0|0
7962782791|Артём|∞|33|8771491823:AAG0je2AG2cYJvIAeILxF5hXM8_SYTzsowg,8257375491:AAG4jH3mESCV9WdiCprRgqMVsj-LpOjHZN0,8740567545:AAFcH_ppqxCIpag8Y_EuV3yhmhJ4mshlzuw,8223593881:AAGdh7GVeY-iBYowAiGhDorLAKLOy-sOQb4,416198684:AAEsDGr1xM0-gQH2aN8cWVDpsGt2ryaCipI,8966265367:AAHfcbca4QeBZs-1_gTpClVAXndiLyiN4Y8,8860328580:AAHkxrB3EL2zd0qF_5bOdcNFTFqwpU_rN-g,8828088990:AAECBnBcujQ2w3-Sivop5wH7hodpox-XLaQ|0|0
8413356809|⁠⁠ceclica|0|0||0|0
5612104927|глеб|0|0||0|0
7204763985|PHANTOM|0|0||0|0
8448858563|Генадий|0|0||0|0
8543226938|Виктор|0|0||0|0
7159597222|Wizyy|2026-05-13 20:00|3||0|0
8017389847|briella|0|0||0|0
5407920014|RU|0|0||0|0
8355089953|кларк @овнер|0|0||0|0
8422585412|Володя Владик 🤣🤣🤣|0|0||0|0
8795440506|L|0|0||0|0
8126846917|ᴜɴ!ᴄᴛь [/] @allmoviesd_bot|0|0||0|0
822000257|𝐷𝑟𝑖𝑧𝑏𝑙𝑖|0|0||0|0
6103826644|Yuol|0|0||0|1
7561280757|Kw!ziks 🇦🇺|0|0||0|0
1055885750|Nван|0|0||0|0
116299215|Hunter|∞|1||0|0
8611092805|хаос|0|0||0|0
8317056776|الشيخ²|0|0||0|0
171545019|Vladimir|0|0||0|0
6999643368|🏔️🇷🇺|0|0||0|0
7729126533|Ретаксалин|2026-07-17 20:48|7||0|0
8400791071|соточар|2026-07-17 21:00|0||0|0
7681100458|нᴀʙᴀᴧьнᴀя|0|0||0|0
6320221568|й|0|0||0|0
5331528838|ᅠ|0|0||0|0
8730163107|Joseph|0|0||0|0
6806217593|Асен|0|0||0|0
8636607729|христофор|0|0||0|0
7500671528|I'm Demon|0|0|8633768274:AAHsg1A3_-py6n-rWFsKA4QZYPVt_N-T-tk|0|0
8222218267|ꜰʀᴇᴇᴢᴇʀ|0|0||0|0
7319650158|𝕯𝖊𝖆𝖙𝖍𝑴𝒂𝒔𝒕𝒆𝒓|0|0||0|0
7012817052|aketos|0|0||0|0
7202301458|𓆩 stwirrry  WinterFR 09 𓆪|0|0||0|0
7093451829|Sasha|0|0||0|0
8696297083|хари maniac|0|0|8611453794:AAFM-i8LKY1Owcng2r_ZovpP68hIoIN0W2o|0|0
6100672407|𝐄𝐠𝐨𝐫 𝐌𝐨𝐥𝐨𝐭𝐨𝐯|0|0||0|0
8228320610|лунтик  мирный|0|0||0|0
7825021035|Shizik проклятый|0|0||0|0
5660399784|︎ ︎|0|0||0|0
5020660511|Jon|0|0||0|0
5390134187|ديفيد فرانشيسكو|0|0||0|0
8775840914|Stas Rufer|0|0||0|0
6315065768|082|0|0||0|0
7023895357|Амбасаддор жировых складок💜|0|0||0|0
8220678043|RASHINKAI|2026-07-18 08:10|1|8653448402:AAHkHV6s041OtwSa3BZuNzo7HQc-IN2fp78|0|0
1810641787|Soooo|0|0||0|0
8709224216|Миланочка|0|0||0|0
8574904179|Лумас|0|0||0|0
6777520773|programdata|∞|15||0|0
8278558339|User|∞|0||0|0
7427474605|Егор|2026-05-27 22:27|0||0|0
8304222510|User|2026-07-27 12:49|0||0|0
1759520047|yunomorov|0|0||0|0
8599811857|scartred|0|0||0|0
8626782697|the nikita|0|0||0|0
7916359809|vpx - vonox/‏󠆜⁧⁧3|0|0||0|0
8615243611|ramires|0|0||0|0
8368997242|Лискаров|0|0||0|0
57726811|Валентин|0|0||0|0
8508231595|Litov|0|0||0|0
8792408264|кверикс.|0|0||0|0
5402019164|‌‌ ‌‌Ну и что?|∞|9||0|0
6149138374|агора|∞|6||0|0
967335882|котэк|0|0||0|0
6922396866|Karma_nastignet_vsex#krovavAprel|0|0||0|0
5233368455|Kakeru|0|0||0|0
8292286361|Miguel|0|0||0|0
8063537462|Yuones|0|0||0|0
6580406780|Gabi|0|0||0|0
7070221917|ㅏㅑㅈㄴㅁㅅ|0|0||0|0
6527983994|Pusat Keamanan|0|0||0|0
8030962966|Carter|0|0||0|0
7919794834|Sachin|0|0||0|0
5892085080|Anil|0|0||0|0
5759494814|Overlord|0|0||0|0
5005782574|Dark|0|0||0|0
6907363858|Vikash|0|0||0|0
5974460827|Toure|0|0||0|0
8429403461|Matthew|0|0||0|0
8668641549|Farden|0|0||0|0
8267223863|Виолетта|0|0||0|0
1091024427|Hércules|0|0||0|0
6082630768|Sunita|0|0||0|0
6588440151|Ko|0|0||0|0
7889741143|Guri|0|0||0|0
7891272956|최|0|0||0|0
6699513292|Dora Babu|0|0||0|0
8701292093|Kyaw|0|0||0|0
8174351457|Дарья Романова|0|0||0|0
2077582468|Gilmar Brandão|0|0||0|0
5831455567|LALROPUIA|0|0||0|0
5430241245|Victor|0|0||0|0
6924470521|Telegram|0|0||0|0
6906027082|Наташа|0|0||0|0
5657028736|Олжас|0|0||0|0
1563234045|Khen Sy|0|0||0|0
953386250|Masaye|0|0||0|0
8493125384|Raja|0|0||0|0
5619572502|jack9709|0|0||0|0
5310356727|Kl|0|0||0|0
5159270294|Мария|0|0||0|0
5415998172|𝑨𝒊𝒔𝒉𝒘𝒂𝒓𝒚𝒂|0|0||0|0
5308531301|I|0|0||0|0
7380867890|Sunset|0|0||0|0
8283594573|Dorekiesepinee|0|0||0|0
6976187394|Aklips|0|0||0|0
6876740465|Mohd|0|0||0|0
8546290003|النعيم|0|0||0|0
8258022560|Shalom|0|0||0|0
6753447209|Rahul|0|0||0|0
8243412852|رضوان|0|0||0|0
5887344044|Света|0|0||0|0
5231169997|Ева|0|0||0|0
